Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRD07.HFN3MBBXX.s_6.r_1_screen	18433	18.76	89494	91.09	29865	30.4	281	0.29	54	0.05	0	0.0
SLX-11165.ORDRD07.HFN3MBBXX.s_7.r_1_screen	18438	18.6	90108	90.91	30039	30.3	310	0.32	56	0.06	0	0.0
SLX-11165.ORDRD08.HFMVTBBXX.s_1.r_1_screen	41743	42.42	91055	92.56	53607	54.49	4	0.0	54	0.05	0	0.0
SLX-11165.ORDRD08.HFMVTBBXX.s_2.r_1_screen	42256	42.26	92793	92.78	54438	54.44	3	0.0	45	0.04	0	0.0
SLX-11165.ORDRD08.HFN3MBBXX.s_5.r_1_screen	41951	41.84	92910	92.64	54166	54.02	7	0.01	70	0.07	0	0.0
SLX-11165.ORDRD08.HFN3MBBXX.s_6.r_1_screen	41459	41.67	92329	92.8	53511	53.79	3	0.0	52	0.05	0	0.0
SLX-11165.ORDRD08.HFN3MBBXX.s_7.r_1_screen	41498	41.52	92773	92.82	53801	53.83	4	0.0	69	0.07	0	0.0
SLX-11165.ORDRD09.HFMVTBBXX.s_1.r_1_screen	27148	27.24	93736	94.06	41932	42.08	10	0.01	43	0.04	0	0.0
SLX-11165.ORDRD09.HFMVTBBXX.s_2.r_1_screen	27782	27.46	95139	94.06	42807	42.32	11	0.01	51	0.05	0	0.0
SLX-11165.ORDRD09.HFN3MBBXX.s_5.r_1_screen	26409	26.75	92903	94.13	41262	41.8	8	0.01	63	0.06	0	0.0
SLX-11165.ORDRD09.HFN3MBBXX.s_6.r_1_screen	26543	26.95	92888	94.28	41124	41.74	17	0.02	48	0.05	0	0.0
SLX-11165.ORDRD09.HFN3MBBXX.s_7.r_1_screen	26623	27.0	93106	94.42	41434	42.02	14	0.01	56	0.06	0	0.0
SLX-11165.ORDRD10.HFMVTBBXX.s_1.r_1_screen	27869	27.61	94928	94.05	42324	41.94	13	0.01	90	0.09	0	0.0
SLX-11165.ORDRD10.HFMVTBBXX.s_2.r_1_screen	27869	27.83	94280	94.15	42111	42.06	9	0.01	67	0.07	0	0.0
SLX-11165.ORDRD10.HFN3MBBXX.s_5.r_1_screen	27031	27.27	93392	94.22	41152	41.51	17	0.02	103	0.1	0	0.0
SLX-11165.ORDRD10.HFN3MBBXX.s_6.r_1_screen	26979	26.96	94413	94.38	41479	41.47	11	0.01	58	0.06	0	0.0
SLX-11165.ORDRD10.HFN3MBBXX.s_7.r_1_screen	26949	27.18	93577	94.4	41332	41.7	9	0.01	80	0.08	0	0.0
